Team,Nickname,City,State,Enrollment,Conference
Air Force,Falcons,Colorado Springs,Colorado,"4,237",Mountain West
Akron,Zips,Akron,Ohio,"19,200",MAC
Alabama,Crimson Tide,Tuscaloosa,Alabama,"38,500",SEC
Appalachian State,Mountaineers,Boone,North Carolina,"19,100",Sun Belt
Arizona,Wildcats,Tucson,Arizona,"45,200",Pac-12
Arizona State,Sun Devils,Tempe,Arizona,"51,800",Pac-12
Arkansas,Razorbacks,Fayetteville,Arkansas,"27,800",SEC
Arkansas State,Red Wolves,Jonesboro,Arkansas,"22,000",Sun Belt
Army,Black Knights,West Point,New York,"4,300",Independent
Auburn,Tigers,Auburn,Alabama,"30,400",SEC
Ball State,Cardinals,Muncie,Indiana,"22,500",MAC
Baylor,Bears,Waco,Texas,"17,200",Big 12
Boise State,Broncos,Boise,Idaho,"25,500",Mountain West
Boston College,Eagles,Chestnut Hill,Massachusetts,"14,700",ACC
Bowling Green,Falcons,Bowling Green,Ohio,"23,000",MAC
Buffalo,Bulls,Buffalo,New York,"31,500",MAC
BYU,Cougars,Provo,Utah,"33,600",Independent
California,Golden Bears,Berkeley,California,"42,500",Pac-12
Central Michigan,Chippewas,Mount Pleasant,Michigan,"21,700",MAC
Charlotte,49ers,Charlotte,North Carolina,"29,700",C-USA
Cincinnati,Bearcats,Cincinnati,Ohio,"46,000",American
Clemson,Tigers,Clemson,South Carolina,"25,000",ACC
Coastal Carolina,Chanticleers,Conway,South Carolina,"10,600",Sun Belt
Colorado,Buffaloes,Boulder,Colorado,"33,200",Pac-12
Colorado State,Rams,Fort Collins,Colorado,"33,800",Mountain West
Duke,Blue Devils,Durham,North Carolina,"15,900",ACC
East Carolina,Pirates,Greenville,North Carolina,"29,100",American
Eastern Michigan,Eagles,Ypsilanti,Michigan,"20,300",MAC
FIU,Panthers,Miami,Florida,"56,800",C-USA
Florida,Gators,Gainesville,Florida,"56,100",SEC
Florida Atlantic,Owls,Boca Raton,Florida,"30,800",C-USA
Florida State,Seminoles,Tallahassee,Florida,"41,900",ACC
Fresno State,Bulldogs,Fresno,California,"25,000",Mountain West
Georgia,Bulldogs,Athens,Georgia,"38,200",SEC
Georgia Southern,Eagles,Statesboro,Georgia,"26,400",Sun Belt
Georgia State,Panthers,Atlanta,Georgia,"52,800",Sun Belt
Georgia Tech,Yellow Jackets,Atlanta,Georgia,"32,700",ACC
Hawaii,Rainbow Warriors,Honolulu,Hawai'i,"17,700",Mountain West
Houston,Cougars,Houston,Texas,"42,700",American
Illinois,Fighting Illini,Urbana–Champaign,Illinois,"51,200",Big Ten
Indiana,Hoosiers,Bloomington,Indiana,"43,700",Big Ten
Iowa,Hawkeyes,Iowa City,Iowa,"33,000",Big Ten
Iowa State,Cyclones,Ames,Iowa,"33,400",Big 12
Kansas,Jayhawks,Lawrence,Kansas,"27,700",Big 12
Kansas State,Wildcats,Manhattan,Kansas,"21,700",Big 12
Kent State,Golden Flashes,Kent,Ohio,"39,300",MAC
Kentucky,Wildcats,Lexington,Kentucky,"29,200",SEC
Liberty,Flames,Lynchburg,Virginia,"15,000",FBS Independent
Louisiana,Ragin' Cajuns,Lafayette,Louisiana,"19,200",Sun Belt
Louisiana–Monroe,Warhawks,Monroe,Louisiana,"8,800",Sun Belt
Louisiana Tech,Bulldogs,Ruston,Louisiana,"12,400",C-USA
Louisville,Cardinals,Louisville,Kentucky,"22,600",ACC
LSU,Tigers,Baton Rouge,Louisiana,"30,800",SEC
Marshall,Thundering Herd,Huntington,West Virginia,"13,200",C-USA
Maryland,Terrapins,College Park,Maryland,"41,200",Big Ten
Memphis,Tigers,Memphis,Tennessee,"21,500",American
Miami (FL),Hurricanes,Coral Gables[n 4],Florida,"17,300",ACC
Miami (OH),RedHawks,Oxford,Ohio,"24,300",MAC
Michigan,Wolverines,Ann Arbor,Michigan,"46,000",Big Ten
Michigan State,Spartans,East Lansing,Michigan,"50,300",Big Ten
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,"21,900",C-USA
Minnesota,Golden Gophers,Minneapolis,Minnesota,"47,800",Big Ten
Mississippi State,Bulldogs,Starkville,Mississippi,"22,200",SEC
Missouri,Tigers,Columbia,Missouri,"30,000",SEC
Navy,Midshipmen,Annapolis,Maryland,"4,600",American
NC State,Wolfpack,Raleigh,North Carolina,"35,500",ACC
Nebraska,Cornhuskers,Lincoln,Nebraska,"25,800",Big Ten
Nevada,Wolf Pack,Reno,Nevada,"21,600",Mountain West
New Mexico,Lobos,Albuquerque,New Mexico,"26,300",Mountain West
New Mexico State,Aggies,Las Cruces,New Mexico,"21,900",Independent
North Carolina,Tar Heels,Chapel Hill,North Carolina,"29,800",ACC
North Texas,Mean Green,Denton,Texas,"39,400",C-USA
Northern Illinois,Huskies,DeKalb,Illinois,"20,000",MAC
Northwestern,Wildcats,Evanston,Illinois,"21,200",Big Ten
Notre Dame,Fighting Irish,South Bend,Indiana,"12,300",Independent
Ohio,Bobcats,Athens,Ohio,"34,900",MAC
Ohio State,Buckeyes,Columbus,Ohio,"68,100",Big Ten
Oklahoma,Sooners,Norman,Oklahoma,"28,500",Big 12
Oklahoma State,Cowboys,Stillwater,Oklahoma,"25,300",Big 12
Old Dominion,Monarchs,Norfolk,Virginia,"25,000",C-USA
Ole Miss,Rebels,Oxford,Mississippi,"23,200",SEC
Oregon,Ducks,Eugene,Oregon,"22,700",Pac-12
Oregon State,Beavers,Corvallis,Oregon,"30,900",Pac-12
Penn State,Nittany Lions,University Park,Pennsylvania,"46,600",Big Ten
Pittsburgh,Panthers,Pittsburgh,Pennsylvania,"28,600",ACC
Purdue,Boilermakers,West Lafayette,Indiana,"43,400",Big Ten
Rice,Owls,Houston,Texas,"7,100",C-USA
Rutgers,Scarlet Knights,Piscataway,New Jersey,"70,900",Big Ten
San Diego State,Aztecs,San Diego,California,"34,900",Mountain West
San Jose State,Spartans,San Jose,California,"32,800",Mountain West
SMU,Mustangs,University Park,Texas,"11,800",American
South Alabama,Jaguars,Mobile,Alabama,"15,100",Sun Belt
South Carolina,Gamecocks,Columbia,South Carolina,"50,100",SEC
South Florida,Bulls,Tampa,Florida,"50,700",American
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,"14,500",C-USA
Stanford,Cardinal,Stanford,California,"16,500",Pac-12
Syracuse,Orange,Syracuse,New York,"22,900",ACC
TCU,Horned Frogs,Fort Worth,Texas,"10,400",Big 12
Temple,Owls,Philadelphia,Pennsylvania,"40,000",American
Tennessee,Volunteers,Knoxville,Tennessee,"28,900",SEC
Texas,Longhorns,Austin,Texas,"51,800",Big 12
Texas A&M,Aggies,College Station,Texas,"69,400",SEC
Texas State,Bobcats,San Marcos,Texas,"38,800",Sun Belt
Texas Tech,Red Raiders,Lubbock,Texas,"38,200",Big 12
