School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking,OppSeasonRanking,RankDiff,OppPassCmp,OppPassAtt,OppPassPct,OppPassYds,OppPassTD,OppRushAtt,OppRushYds,OppRushAvg,OppRushTD,OppXPM,OppXPA,OppXPPercent,OppFGM,OppFGA,OppFGPercent,OppKickPts,OppFum,OppInt,OppTotalTO
Central Michigan,Oklahoma State,2015-09-03,2015-16,1,0,13,24,37,L,-11,Regular,1,26.5,39.8,66.24999999999999,322.6,1.9,32.3,100.8,3.15,1.0,2.7,2.7,100.0,1.6,2.4,69.17,7.5,0.5,0.8,1.3,26.0,14.153846153846153,11.846153846153847,25.0,39.0,65.04444444444444,333.55555555555554,2.3333333333333335,38.333333333333336,145.33333333333334,3.788888888888889,1.8888888888888888,4.222222222222222,4.555555555555555,91.66666666666667,1.5555555555555556,2.111111111111111,70.36666666666666,8.88888888888889,0.4444444444444444,1.0,1.4444444444444444
Hawaii,Colorado,2015-09-03,2015-16,1,0,28,20,48,W,8,Regular,1,19.75,38.0,52.575,233.25,1.75,36.75,136.5,3.4000000000000004,0.75,2.25,2.25,100.0,1.5,2.0,66.675,6.75,0.5,2.5,3.0,26.0,26.0,0.0,21.583333333333332,35.333333333333336,61.13333333333333,239.41666666666666,1.0833333333333333,42.75,163.58333333333334,3.4749999999999996,1.9166666666666667,3.0,3.0,100.0,1.4166666666666667,2.1666666666666665,65.97500000000001,7.25,0.75,0.8333333333333334,1.5833333333333333
Idaho,Ohio,2015-09-03,2015-16,1,0,28,45,73,L,-17,Regular,1,24.818181818181817,39.18181818181818,63.290909090909096,291.72727272727275,1.5454545454545454,39.0,144.9090909090909,3.5727272727272723,1.7272727272727273,3.090909090909091,3.1818181818181817,90.9090909090909,2.090909090909091,2.4545454545454546,88.7909090909091,9.363636363636363,0.7272727272727273,1.0909090909090908,1.8181818181818181,26.0,2.2666666666666666,23.733333333333334,18.3,30.9,59.67,224.6,1.3,45.3,209.0,4.42,1.6,3.5,3.5,100.0,1.6,2.2,73.0,8.3,0.4,1.1,1.5
Minnesota,Texas Christian,2015-09-03,2015-16,1,0,17,23,40,L,-6,Regular,1,19.555555555555557,33.333333333333336,59.07777777777778,216.33333333333334,1.2222222222222223,36.333333333333336,161.66666666666666,4.322222222222221,1.3333333333333333,2.4444444444444446,2.4444444444444446,100.0,1.6666666666666667,2.111111111111111,76.85555555555555,7.444444444444445,0.8888888888888888,0.6666666666666666,1.5555555555555556,26.0,5.866666666666666,20.133333333333333,26.0,41.6,62.289999999999985,351.1,2.7,43.0,215.7,5.3,1.8,3.8,3.9,96.67,2.1,2.5,85.83,10.1,0.3,1.2,1.5
Utah,Michigan,2015-09-03,2015-16,1,0,24,17,41,W,7,Regular,1,18.363636363636363,28.181818181818183,65.4,196.0909090909091,1.3636363636363635,43.18181818181818,187.0909090909091,4.236363636363637,1.9090909090909092,3.8181818181818183,3.8181818181818183,100.0,1.8181818181818181,2.1818181818181817,88.63636363636364,9.272727272727273,0.7272727272727273,1.0,1.7272727272727273,16.142857142857142,15.5,0.6428571428571423,20.333333333333332,32.666666666666664,62.72222222222222,251.55555555555554,1.4444444444444444,38.0,151.55555555555554,3.8333333333333335,2.0,3.3333333333333335,3.3333333333333335,100.0,1.7777777777777777,2.2222222222222223,83.34444444444446,8.666666666666666,0.4444444444444444,0.7777777777777778,1.2222222222222223
Georgia State,Charlotte,2015-09-04,2015-16,1,0,20,23,43,L,-3,Regular,1,25.555555555555557,39.666666666666664,64.46666666666667,370.55555555555554,2.2222222222222223,33.333333333333336,106.33333333333333,2.9444444444444446,1.4444444444444444,3.6666666666666665,3.7777777777777777,97.77777777777777,1.2222222222222223,1.7777777777777777,64.82222222222222,7.333333333333333,1.1111111111111112,0.8888888888888888,2.0,26.0,26.0,0.0,17.5,31.875,54.2,183.25,1.125,48.375,161.75,3.3249999999999997,0.875,2.25,2.25,100.0,1.25,2.25,58.3375,6.0,1.125,1.625,2.75
Western Michigan,Michigan State,2015-09-04,2015-16,1,0,24,37,61,L,-13,Regular,1,21.5,32.5,66.75999999999999,298.6,2.2,39.4,179.3,4.24,1.8,3.5,3.8,78.57000000000001,1.6,2.0,81.67,8.3,0.8,0.8,1.6,26.0,5.333333333333333,20.666666666666668,17.09090909090909,30.454545454545453,56.281818181818174,226.63636363636363,2.0,41.27272727272727,167.63636363636363,4.0636363636363635,1.7272727272727273,3.727272727272727,3.8181818181818183,97.72727272727273,1.0909090909090908,1.7272727272727273,69.0909090909091,7.0,0.45454545454545453,0.5454545454545454,1.0
Boise State,Washington,2015-09-04,2015-16,1,0,16,13,29,W,3,Regular,1,25.615384615384617,40.30769230769231,65.5076923076923,309.9230769230769,1.8461538461538463,42.53846153846154,191.3846153846154,4.369230769230769,2.769230769230769,4.538461538461538,4.6923076923076925,94.61538461538461,1.9230769230769231,2.3076923076923075,87.56923076923077,10.307692307692308,0.7692307692307693,0.9230769230769231,1.6923076923076923,22.5,26.0,-3.5,19.6,31.6,63.93000000000001,244.1,1.3,37.3,152.0,3.97,1.7,3.6,3.6,100.0,2.0,2.5,80.0,9.6,1.0,1.1,2.1
UCLA,Virginia,2015-09-05,2015-16,1,0,34,16,50,W,18,Regular,1,23.6,40.8,57.31999999999999,289.1,1.7,37.1,188.1,4.999999999999999,1.6,3.1,3.1,100.0,2.0,2.3,81.67,9.1,0.4,1.1,1.5,16.90909090909091,26.0,-9.09090909090909,20.636363636363637,34.45454545454545,60.04545454545455,227.27272727272728,1.6363636363636365,35.0,144.9090909090909,4.054545454545454,0.9090909090909091,2.5454545454545454,2.6363636363636362,95.45454545454545,1.5454545454545454,2.0,65.15454545454546,7.181818181818182,0.45454545454545453,1.5454545454545454,2.0
Tulsa,Florida Atlantic,2015-09-05,2015-16,1,0,47,44,91,W,3,Regular,1,22.636363636363637,38.09090909090909,59.209090909090904,330.27272727272725,1.9090909090909092,46.54545454545455,188.45454545454547,4.009090909090909,2.5454545454545454,4.454545454545454,4.636363636363637,96.66363636363636,1.5454545454545454,2.272727272727273,76.36363636363636,9.090909090909092,0.7272727272727273,0.6363636363636364,1.3636363636363635,26.0,26.0,0.0,16.5,31.1,53.379999999999995,202.2,1.0,41.5,180.8,4.35,1.4,2.5,2.5,100.0,1.7,2.5,63.839999999999996,7.6,0.7,0.8,1.5
