,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Oklahoma,8,49.3,19.5,27.0,72.2,346.3,3.0,35.6,252.4,7.1,3.1,62.6,598.6,9.6,13.5,10.9,1.1,25.1,7.4,82.5,0.5,0.5,1.0
2,Alabama,8,48.6,23.9,32.3,74.0,338.6,4.0,33.3,168.3,5.1,2.0,65.5,506.9,7.7,13.9,9.9,1.5,25.1,7.4,68.8,0.3,0.4,0.6
3,Ohio State,8,48.3,17.9,25.8,69.4,230.5,3.5,45.8,284.6,6.2,2.9,71.5,515.1,7.2,10.8,13.9,2.3,26.9,4.9,45.9,0.6,0.1,0.8
4,LSU,8,46.8,27.8,36.1,76.8,377.6,3.4,34.8,158.4,4.6,2.0,70.9,536.0,7.6,15.0,10.3,1.6,26.5,6.4,64.9,0.4,0.6,1.0
5,UCF,8,46.6,20.0,33.6,59.5,327.5,3.3,44.4,233.9,5.3,2.8,78.0,561.4,7.2,11.8,12.0,3.8,27.5,7.9,69.4,0.6,0.6,1.3
6,SMU,8,43.0,23.4,37.0,63.2,301.4,2.4,46.8,202.8,4.3,3.0,83.8,504.1,6.0,11.3,10.5,3.9,25.6,7.0,67.0,0.5,1.0,1.5
7,Clemson,8,42.4,21.4,33.6,63.6,271.8,2.5,39.4,254.1,6.5,2.8,73.0,525.9,7.2,12.0,11.8,2.5,26.3,5.4,43.4,0.5,1.1,1.6
8,Washington State,8,41.8,36.3,52.3,69.4,436.4,4.3,16.8,85.5,5.1,1.0,69.0,521.9,7.6,19.3,4.5,1.5,25.3,6.3,58.6,0.5,1.1,1.6
9,Appalachian State,7,41.0,16.6,25.0,66.3,195.4,1.9,43.6,244.1,5.6,3.0,68.6,439.6,6.4,8.7,11.0,1.1,20.9,7.0,69.4,0.1,0.4,0.6
10,Memphis,8,39.5,19.3,27.9,69.1,282.5,2.5,37.4,188.1,5.0,2.3,65.3,470.6,7.2,10.6,8.0,2.4,21.0,7.4,61.0,1.1,0.5,1.6
11,Texas,8,39.1,26.0,39.6,65.6,308.8,2.9,37.5,168.9,4.5,1.9,77.1,477.6,6.2,14.5,10.0,2.1,26.6,7.3,63.5,0.5,0.9,1.4
12,Baylor,7,38.9,20.0,30.3,66.0,281.4,1.9,35.9,202.7,5.7,3.1,66.1,484.1,7.3,12.0,10.1,1.6,23.1,6.9,59.4,0.6,0.4,1.0
13,Penn State,8,38.5,18.5,29.9,61.9,252.0,2.6,37.8,172.4,4.6,2.4,67.6,424.4,6.3,11.3,8.5,1.8,21.5,5.3,58.4,0.5,0.4,0.9
14,Minnesota,8,38.4,14.3,21.8,65.5,225.0,2.3,47.0,204.5,4.4,2.6,68.8,429.5,6.2,9.4,12.1,1.4,22.9,4.0,38.6,0.6,0.5,1.1
15,Louisiana,7,38.0,17.6,27.3,64.4,206.0,1.4,41.7,286.9,6.9,3.9,69.0,492.9,7.1,10.4,13.4,1.4,25.3,6.3,54.7,1.0,0.4,1.4
16,Navy,7,37.9,4.3,7.9,54.5,89.4,0.7,59.6,351.1,5.9,4.1,67.4,440.6,6.5,3.1,18.9,0.6,22.6,4.7,39.4,1.1,0.6,1.7
17,Oklahoma State,8,37.5,18.6,29.1,63.9,241.6,1.9,47.4,263.5,5.6,2.6,76.5,505.1,6.6,9.0,12.1,2.6,23.8,6.3,58.0,0.9,1.3,2.1
18,Wake Forest,7,37.1,25.1,38.1,65.9,327.7,2.9,46.1,196.1,4.3,1.7,84.3,523.9,6.2,14.0,10.4,1.9,26.3,4.0,33.6,0.3,0.7,1.0
19,Air Force,8,36.6,5.3,9.8,53.8,120.0,0.8,59.6,323.6,5.4,3.9,69.4,443.6,6.4,4.3,18.3,0.5,23.0,3.5,31.6,1.1,0.4,1.5
20,Georgia State,8,36.6,19.8,30.5,64.8,221.4,2.3,48.6,257.3,5.3,2.5,79.1,478.6,6.0,11.0,13.5,1.4,25.9,5.1,50.8,0.6,0.6,1.3
21,Hawaii,8,36.6,28.4,44.8,63.4,354.5,3.5,26.4,134.1,5.1,1.0,71.1,488.6,6.9,16.0,8.0,1.6,25.6,6.5,60.9,1.3,1.5,2.8
22,Louisiana Tech,8,36.4,23.3,35.4,65.7,293.9,1.8,35.0,177.4,5.1,2.4,70.4,471.3,6.7,13.1,9.3,1.5,23.9,5.3,45.9,0.6,0.9,1.5
23,Tulane,8,36.3,15.6,26.0,60.1,215.9,1.8,44.5,257.6,5.8,2.9,70.5,473.5,6.7,9.1,13.6,1.1,23.9,8.0,69.0,0.5,0.9,1.4
24,Georgia,7,36.0,20.3,28.6,71.0,234.4,1.6,38.3,238.4,6.2,2.6,66.9,472.9,7.1,11.4,10.7,1.6,23.6,6.7,63.0,0.6,0.6,1.1
25,Oregon,8,36.0,23.6,34.4,68.7,275.9,2.9,37.1,194.4,5.2,1.8,71.5,470.3,6.6,13.4,9.0,1.9,24.3,5.9,59.5,0.5,0.1,0.6
26,Western Michigan,9,36.0,19.3,31.8,60.8,256.0,1.9,37.4,205.8,5.5,2.9,69.2,461.8,6.7,10.4,10.1,2.0,22.6,7.3,68.9,0.4,0.8,1.2
27,Iowa State,8,35.9,25.5,37.4,68.2,328.4,2.1,32.1,151.6,4.7,2.3,69.5,480.0,6.9,15.5,7.5,1.8,24.8,4.0,34.6,0.6,0.9,1.5
28,Washington,8,35.8,19.9,29.5,67.4,250.0,2.0,36.5,174.8,4.8,1.9,66.0,424.8,6.4,10.4,9.4,1.3,21.0,6.3,52.0,0.5,0.4,0.9
29,Notre Dame,7,35.6,18.0,30.0,60.0,243.6,2.6,34.6,171.3,5.0,1.9,64.6,414.9,6.4,9.1,9.0,1.9,20.0,6.4,48.7,0.6,0.3,0.9
30,Wisconsin,8,35.6,18.4,24.4,75.4,195.5,1.3,44.1,217.0,4.9,3.0,68.5,412.5,6.0,10.0,11.8,0.6,22.4,4.3,41.1,1.0,0.3,1.3
31,Boise State,7,35.3,22.0,36.4,60.4,302.1,2.6,38.7,167.6,4.3,1.7,75.1,469.7,6.3,13.1,9.7,2.0,24.9,6.3,60.1,0.7,0.7,1.4
32,Troy,7,34.7,26.4,40.1,65.8,307.3,2.6,35.3,151.6,4.3,1.6,75.4,458.9,6.1,13.0,9.3,2.4,24.7,5.1,53.3,0.6,0.9,1.4
33,Auburn,8,34.3,14.4,26.5,54.2,189.0,1.8,44.0,226.4,5.1,2.6,70.5,415.4,5.9,8.4,11.1,1.4,20.9,8.0,61.8,0.9,0.8,1.6
34,Texas Christian,7,34.3,18.1,31.4,57.7,212.1,1.6,44.4,228.4,5.1,2.3,75.9,440.6,5.8,9.3,11.7,2.0,23.0,5.9,56.0,1.1,0.3,1.4
35,Indiana,8,34.0,26.5,38.0,69.7,312.8,2.4,33.0,138.4,4.2,1.6,71.0,451.1,6.4,13.9,8.4,2.1,24.3,6.8,67.1,0.4,0.9,1.3
36,Fresno State,7,33.3,20.7,33.1,62.5,234.4,1.4,32.4,166.9,5.1,2.4,65.6,401.3,6.1,10.9,7.3,2.0,20.1,5.9,45.0,0.7,0.9,1.6
37,Texas A&M,8,33.1,23.0,37.0,62.2,266.8,2.3,31.5,146.0,4.6,1.6,68.5,412.8,6.0,13.6,8.6,1.5,23.8,6.3,55.1,0.8,0.8,1.5
38,Utah,8,33.1,16.8,23.1,72.4,233.0,1.4,43.3,219.4,5.1,2.6,66.4,452.4,6.8,9.4,11.5,2.3,23.1,6.4,55.5,0.8,0.1,0.9
39,Ball State,8,33.0,21.1,32.6,64.8,247.8,2.1,41.0,194.5,4.7,1.9,73.6,442.3,6.0,11.8,9.6,2.4,23.6,5.6,50.3,0.9,0.8,1.6
40,Florida Atlantic,8,32.9,23.4,36.5,64.0,281.4,2.0,38.9,134.6,3.5,2.1,75.4,416.0,5.5,13.8,7.1,1.4,22.3,7.9,69.4,0.3,0.8,1.0
41,North Texas,8,32.9,24.6,39.3,62.7,296.8,2.9,34.8,163.4,4.7,0.9,74.0,460.1,6.2,12.8,8.8,1.4,22.9,5.6,57.9,0.4,0.9,1.3
42,Louisville,8,32.8,13.4,23.4,57.2,226.0,2.0,44.8,219.8,4.9,2.0,68.1,445.8,6.5,8.6,10.3,1.5,20.4,6.4,53.0,0.9,0.6,1.5
43,Kansas State,7,32.7,14.6,23.9,61.1,177.7,1.0,42.4,202.0,4.8,2.9,66.3,379.7,5.7,9.4,9.1,1.7,20.3,5.4,47.0,0.9,0.1,1.0
44,Coastal Carolina,7,32.6,17.9,27.1,65.8,199.7,1.9,41.9,195.9,4.7,2.3,69.0,395.6,5.7,10.3,11.0,1.1,22.4,6.1,53.1,0.6,0.9,1.4
45,Arkansas State,8,32.5,23.0,36.5,63.0,295.5,2.8,35.0,132.3,3.8,1.0,71.5,427.8,6.0,12.0,8.0,2.3,22.3,7.4,65.1,0.5,0.9,1.4
46,Florida,8,32.5,23.3,33.9,68.6,277.3,2.6,32.8,142.8,4.4,1.6,66.6,420.0,6.3,13.0,6.6,2.6,22.3,5.4,49.9,1.0,0.9,1.9
47,Maryland,8,32.4,16.9,31.8,53.1,212.3,1.8,35.9,191.1,5.3,2.5,67.6,403.4,6.0,8.9,7.6,1.6,18.1,6.6,58.0,0.3,1.1,1.4
48,Arizona,8,32.3,22.6,35.6,63.5,289.5,2.4,38.6,202.5,5.2,1.9,74.3,492.0,6.6,13.0,10.4,0.8,24.1,6.5,56.4,0.8,1.1,1.9
49,Charlotte,8,31.9,15.5,25.6,60.5,209.1,2.1,38.0,207.6,5.5,2.1,63.6,416.8,6.6,9.0,9.1,1.8,19.9,6.4,57.5,0.3,1.1,1.4
50,Missouri,8,31.8,18.9,31.4,60.2,244.1,1.8,42.4,184.4,4.4,1.5,73.8,428.5,5.8,9.5,10.9,2.5,22.9,7.4,71.8,0.8,0.6,1.4
51,USC,8,31.3,25.0,35.3,70.9,296.1,2.3,32.6,146.3,4.5,1.6,67.9,442.4,6.5,12.8,8.0,1.1,21.9,6.6,70.4,0.6,1.3,1.9
52,Boston College,8,31.1,13.4,25.9,51.7,199.1,1.8,49.9,255.0,5.1,2.3,75.8,454.1,6.0,8.1,12.9,1.1,22.1,5.8,41.4,0.4,0.5,0.9
53,Colorado State,8,31.0,23.8,38.1,62.3,319.5,2.0,34.8,154.4,4.4,1.8,72.9,473.9,6.5,12.5,7.5,2.3,22.3,6.9,67.3,1.5,0.9,2.4
54,Michigan,8,31.0,16.6,29.5,56.4,224.6,1.6,40.8,173.1,4.2,2.5,70.3,397.8,5.7,10.6,8.4,3.4,22.4,6.1,47.5,1.1,0.6,1.8
55,Houston,8,30.9,14.0,26.8,52.3,201.4,1.6,38.8,208.4,5.4,1.9,65.5,409.8,6.3,8.5,10.0,2.4,20.8,5.6,56.1,0.8,0.9,1.6
56,Texas Tech,8,30.8,29.1,44.4,65.6,303.6,1.9,36.0,173.8,4.8,1.8,80.4,477.4,5.9,14.3,9.3,2.5,26.0,6.5,58.8,0.5,0.6,1.1
57,Ohio,8,30.4,15.4,26.3,58.6,218.1,1.4,38.6,193.5,5.0,2.5,64.9,411.6,6.3,9.8,10.3,1.9,21.9,5.3,49.8,0.6,0.8,1.4
58,Oregon State,7,30.4,21.0,35.7,58.8,243.7,2.6,34.4,167.3,4.9,1.7,70.1,411.0,5.9,11.7,9.9,1.3,22.9,7.0,60.6,0.0,0.3,0.3
59,Virginia Tech,7,30.3,15.7,26.4,59.5,220.0,2.4,44.3,175.1,4.0,1.4,70.7,395.1,5.6,9.0,10.1,1.9,21.0,5.3,45.3,1.1,0.7,1.9
60,Liberty,8,30.1,19.6,32.9,59.7,276.6,2.0,30.8,133.4,4.3,1.8,63.6,410.0,6.4,11.8,7.1,2.3,21.1,7.0,65.1,0.6,0.5,1.1
61,UAB,7,29.9,15.6,26.3,59.2,251.9,2.1,40.4,154.3,3.8,1.4,66.7,406.1,6.1,10.3,6.4,1.3,20.3,6.9,73.0,0.6,1.6,2.1
62,Virginia,8,29.9,22.9,36.1,63.3,239.8,1.1,32.0,105.5,3.3,2.0,68.1,345.3,5.1,11.4,6.8,2.0,20.1,5.1,50.6,0.8,1.3,2.0
63,Duke,8,29.5,19.3,32.4,59.5,196.8,1.9,42.6,166.1,3.9,1.8,75.0,362.9,4.8,9.5,9.3,2.1,21.0,5.6,48.8,1.1,1.3,2.4
64,Florida State,8,29.4,24.1,36.9,65.4,277.1,2.1,37.0,139.9,3.8,1.9,73.9,417.0,5.6,11.8,8.5,2.5,22.8,8.8,72.9,0.6,0.8,1.4
65,Southern Mississippi,8,29.1,22.4,32.1,69.6,315.1,1.8,33.5,118.5,3.5,1.3,65.6,433.6,6.6,12.9,5.9,1.3,20.0,6.8,61.9,0.5,1.1,1.6
66,UCLA,8,29.1,19.8,33.1,59.6,236.9,2.0,41.6,167.1,4.0,1.5,74.8,404.0,5.4,10.4,9.6,2.0,22.0,7.0,54.9,0.9,0.9,1.8
67,Illinois,8,29.0,14.8,27.0,54.6,168.1,1.6,39.4,158.3,4.0,1.8,66.4,326.4,4.9,7.9,8.4,1.5,17.9,7.0,63.5,0.8,0.5,1.3
68,Utah State,7,29.0,22.9,37.1,61.5,247.6,1.4,33.1,159.3,4.8,1.3,70.3,406.9,5.8,11.1,8.1,1.4,20.7,5.0,43.0,0.6,1.3,1.9
