Year,Season,Week,Ranking,College
2015,2015-16,1,1,Ohio State
2015,2015-16,1,2,TCU
2015,2015-16,1,3,Alabama
2015,2015-16,1,4,Baylor
2015,2015-16,1,5,Oregon
2015,2015-16,1,6,Michigan State
2015,2015-16,1,7,Auburn
2015,2015-16,1,8,Florida State
2015,2015-16,1,9,Georgia
2015,2015-16,1,10,USC
2015,2015-16,1,11,Notre Dame
2015,2015-16,1,12,Clemson
2015,2015-16,1,13,LSU
2015,2015-16,1,14,UCLA
2015,2015-16,1,15,Ole Miss
2015,2015-16,1,16,Arizona State
2015,2015-16,1,17,Georgia Tech
2015,2015-16,1,18,Wisconsin
2015,2015-16,1,19,Oklahoma
2015,2015-16,1,20,Arkansas
2015,2015-16,1,21,Stanford
2015,2015-16,1,22,Arizona
2015,2015-16,1,23,Missouri
2015,2015-16,1,24,Boise State
2015,2015-16,1,25,Tennessee
2015,2015-16,2,1,Ohio State
2015,2015-16,2,2,Alabama
2015,2015-16,2,3,TCU
2015,2015-16,2,4,Baylor
2015,2015-16,2,5,Oregon
2015,2015-16,2,6,Michigan State
2015,2015-16,2,7,Auburn
2015,2015-16,2,8,Florida State
2015,2015-16,2,9,Georgia
2015,2015-16,2,10,USC
2015,2015-16,2,11,Notre Dame
2015,2015-16,2,12,Clemson
2015,2015-16,2,13,UCLA
2015,2015-16,2,14,Ole Miss
2015,2015-16,2,15,LSU
2015,2015-16,2,16,Georgia Tech
2015,2015-16,2,17,Oklahoma
2015,2015-16,2,18,Arkansas
2015,2015-16,2,19,Texas A&M
2015,2015-16,2,20,Arizona
2015,2015-16,2,21,Missouri
2015,2015-16,2,22,Boise State
2015,2015-16,2,23,Tennessee
2015,2015-16,2,24,Wisconsin
2015,2015-16,2,25,Utah
2015,2015-16,3,1,Ohio State
2015,2015-16,3,2,Alabama
2015,2015-16,3,3,TCU
2015,2015-16,3,4,Michigan State
2015,2015-16,3,5,Baylor
2015,2015-16,3,6,Florida State
2015,2015-16,3,7,USC
2015,2015-16,3,8,Georgia
2015,2015-16,3,9,Clemson
2015,2015-16,3,10,Notre Dame
2015,2015-16,3,11,Ole Miss
2015,2015-16,3,12,UCLA
2015,2015-16,3,13,Oregon
2015,2015-16,3,14,LSU
2015,2015-16,3,15,Auburn
2015,2015-16,3,16,Georgia Tech
2015,2015-16,3,17,Oklahoma
2015,2015-16,3,18,Texas A&M
2015,2015-16,3,19,Arizona
2015,2015-16,3,20,Missouri
2015,2015-16,3,21,Utah
2015,2015-16,3,22,BYU
2015,2015-16,3,23,Wisconsin
2015,2015-16,3,24,Northwestern
2015,2015-16,3,25,Oklahoma State
2015,2015-16,4,1,Ohio State
2015,2015-16,4,2,TCU
2015,2015-16,4,3,Michigan State
2015,2015-16,4,4,Baylor
2015,2015-16,4,5,Ole Miss
2015,2015-16,4,6,Georgia
2015,2015-16,4,7,Florida State
2015,2015-16,4,8,Notre Dame
2015,2015-16,4,9,LSU
2015,2015-16,4,10,Clemson
2015,2015-16,4,11,UCLA
2015,2015-16,4,12,Alabama
2015,2015-16,4,13,Oregon
2015,2015-16,4,14,Oklahoma
2015,2015-16,4,15,Texas A&M
2015,2015-16,4,16,Arizona
2015,2015-16,4,17,Utah
2015,2015-16,4,18,USC
2015,2015-16,4,19,Northwestern
2015,2015-16,4,20,Georgia Tech
2015,2015-16,4,21,Wisconsin
2015,2015-16,4,22,Oklahoma State
2015,2015-16,4,23,Missouri
2015,2015-16,4,24,Stanford
2015,2015-16,4,25,Auburn
2015,2015-16,5,1,Ohio State
2015,2015-16,5,2,Michigan State
2015,2015-16,5,3,TCU
2015,2015-16,5,4,Baylor
2015,2015-16,5,5,Ole Miss
2015,2015-16,5,6,Georgia
2015,2015-16,5,7,Notre Dame
2015,2015-16,5,8,LSU
2015,2015-16,5,9,Florida State
2015,2015-16,5,10,UCLA
2015,2015-16,5,11,Clemson
2015,2015-16,5,12,Utah
2015,2015-16,5,13,Alabama
2015,2015-16,5,14,Oklahoma
2015,2015-16,5,15,Texas A&M
2015,2015-16,5,16,USC
2015,2015-16,5,17,Northwestern
2015,2015-16,5,18,Wisconsin
2015,2015-16,5,19,Oklahoma State
2015,2015-16,5,20,Stanford
2015,2015-16,5,21,West Virginia
2015,2015-16,5,22,Mississippi State
2015,2015-16,5,23,Florida
2015,2015-16,5,24,Oregon
2015,2015-16,5,24,California
2015,2015-16,6,1,Ohio State
2015,2015-16,6,2,TCU
2015,2015-16,6,3,Michigan State
2015,2015-16,6,4,Baylor
2015,2015-16,6,5,LSU
2015,2015-16,6,6,Clemson
2015,2015-16,6,7,Utah
2015,2015-16,6,8,Florida State
2015,2015-16,6,9,Oklahoma
2015,2015-16,6,10,Alabama
2015,2015-16,6,11,Texas A&M
2015,2015-16,6,12,Florida
2015,2015-16,6,13,Ole Miss
2015,2015-16,6,14,Northwestern
2015,2015-16,6,15,Notre Dame
2015,2015-16,6,16,Georgia
2015,2015-16,6,17,USC
2015,2015-16,6,18,Stanford
2015,2015-16,6,19,Oklahoma State
2015,2015-16,6,20,UCLA
2015,2015-16,6,21,Michigan
2015,2015-16,6,22,California
2015,2015-16,6,23,Iowa
2015,2015-16,6,24,Boise State
2015,2015-16,6,25,Memphis
2015,2015-16,7,1,Ohio State
2015,2015-16,7,2,Baylor
2015,2015-16,7,3,TCU
2015,2015-16,7,4,Michigan State
2015,2015-16,7,5,LSU
2015,2015-16,7,6,Clemson
2015,2015-16,7,7,Utah
2015,2015-16,7,8,Florida State
2015,2015-16,7,9,Alabama
2015,2015-16,7,10,Texas A&M
2015,2015-16,7,11,Florida
2015,2015-16,7,12,Ole Miss
2015,2015-16,7,13,Notre Dame
2015,2015-16,7,14,Michigan
2015,2015-16,7,15,Oklahoma State
2015,2015-16,7,16,Stanford
2015,2015-16,7,17,Iowa
2015,2015-16,7,18,UCLA
2015,2015-16,7,19,Oklahoma
2015,2015-16,7,20,Boise State
2015,2015-16,7,21,Northwestern
2015,2015-16,7,22,Memphis
2015,2015-16,7,23,California
2015,2015-16,7,24,Duke
2015,2015-16,7,25,Toledo
2015,2015-16,8,1,Ohio State
2015,2015-16,8,2,Baylor
