School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking
Georgia State,Charlotte,2015-09-04,2015-16,1,0,20,23,43,L,-3,Regular,1,25,43,58.1,299,2,26,93,3.6,0,2,2,100.0,2,3,66.7,8,2,1,3,-1.0
Oregon State,Weber State,2015-09-04,2015-16,1,0,26,7,33,W,19,Regular,1,12,22,54.5,110,2,56,281,5.0,0,2,2,100.0,4,4,100.0,14,0,1,1,-1.0
Syracuse,Rhode Island,2015-09-04,2015-16,1,0,47,0,47,W,47,Regular,1,10,20,50.0,114,2,58,312,5.4,2,6,6,100.0,1,2,50.0,9,0,1,1,-1.0
Western Michigan,Michigan State,2015-09-04,2015-16,1,0,24,37,61,L,-13,Regular,1,33,50,66.0,365,2,23,18,0.8,0,3,3,100.0,1,2,50.0,6,0,2,2,-1.0
Central Michigan,Oklahoma State,2015-09-03,2015-16,1,0,13,24,37,L,-11,Regular,1,29,42,69.0,265,0,28,78,2.8,1,1,1,100.0,2,2,100.0,7,0,1,1,-1.0
Fresno State,Abilene Christian,2015-09-03,2015-16,1,0,34,13,47,W,21,Regular,1,22,45,48.9,217,4,39,225,5.8,0,4,4,100.0,2,3,66.7,10,1,2,3,-1.0
Hawaii,Colorado,2015-09-03,2015-16,1,0,28,20,48,W,8,Regular,1,19,38,50.0,202,3,34,100,2.9,0,2,2,100.0,2,2,100.0,8,0,2,2,-1.0
Idaho,Ohio,2015-09-03,2015-16,1,0,28,45,73,L,-17,Regular,1,36,48,75.0,297,1,28,100,3.6,2,2,2,100.0,2,2,100.0,8,1,2,3,-1.0
Minnesota,Texas Christian,2015-09-03,2015-16,1,0,17,23,40,L,-6,Regular,1,19,35,54.3,197,1,39,144,3.7,1,2,2,100.0,1,1,100.0,5,2,0,2,-1.0
San Jose State,New Hampshire,2015-09-03,2015-16,1,0,43,13,56,W,30,Regular,1,30,35,85.7,422,1,53,285,5.4,5,4,6,66.7,1,2,50.0,7,0,0,0,-1.0
Central Florida,Florida International,2015-09-03,2015-16,1,0,14,15,29,L,-1,Regular,1,23,34,67.6,249,2,29,46,1.6,0,2,2,100.0,0,1,0.0,2,0,0,0,-1.0
Utah,Michigan,2015-09-03,2015-16,1,0,24,17,41,W,7,Regular,1,24,33,72.7,208,0,37,129,3.5,2,3,3,100.0,1,3,33.3,6,0,1,1,15.857142857142858
Utah State,Southern Utah,2015-09-03,2015-16,1,0,12,9,21,W,3,Regular,1,16,33,48.5,110,0,35,140,4.0,0,1,1,100.0,1,1,100.0,4,0,1,1,-1.0
Wake Forest,Elon,2015-09-03,2015-16,1,0,41,3,44,W,38,Regular,1,29,40,72.5,388,3,42,203,4.8,2,5,5,100.0,2,3,66.7,11,0,0,0,-1.0
West Virginia,Liberty,2015-09-12,2015-16,1,0,41,17,58,W,24,Regular,2,27,32,84.4,313,3,45,172,3.8,2,5,5,100.0,2,3,66.7,11,0,0,0,21.0
