School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking,OppSeasonRanking,RankDiff,OppPassCmp,OppPassAtt,OppPassPct,OppPassYds,OppPassTD,OppRushAtt,OppRushYds,OppRushAvg,OppRushTD,OppXPM,OppXPA,OppXPPercent,OppFGM,OppFGA,OppFGPercent,OppKickPts,OppFum,OppInt,OppTotalTO
Georgia State,Charlotte,2015-09-04,2015-16,1,0,20,23,43,L,-3,Regular,1,25,43,58.1,299,2,26,93,3.6,0,2,2,100.0,2,3,66.7,8,2,1,3,26.0,26.0,0.0,19.0,32.0,59.4,244.0,1.0,54.0,164.0,3.0,0.0,2.0,2.0,100.0,3.0,3.0,100.0,11.0,2.0,2.0,4.0
Western Michigan,Michigan State,2015-09-04,2015-16,1,0,24,37,61,L,-13,Regular,1,33,50,66.0,365,2,23,18,0.8,0,3,3,100.0,1,2,50.0,6,0,2,2,26.0,5.333333333333333,20.666666666666668,15.0,31.0,48.4,256.0,2.0,40.0,196.0,4.9,3.0,4.0,4.0,100.0,1.0,1.0,100.0,7.0,1.0,0.0,1.0
Central Michigan,Oklahoma State,2015-09-03,2015-16,1,0,13,24,37,L,-11,Regular,1,29,42,69.0,265,0,28,78,2.8,1,1,1,100.0,2,2,100.0,7,0,1,1,26.0,14.153846153846153,11.846153846153847,22.0,32.0,68.8,266.0,1.0,35.0,153.0,4.4,2.0,3.0,3.0,100.0,1.0,3.0,33.3,6.0,0.0,0.0,0.0
Hawaii,Colorado,2015-09-03,2015-16,1,0,28,20,48,W,8,Regular,1,19,38,50.0,202,3,34,100,2.9,0,2,2,100.0,2,2,100.0,8,0,2,2,26.0,26.0,0.0,23.0,40.0,57.5,156.0,0.0,53.0,215.0,4.1,2.0,2.0,2.0,100.0,2.0,2.0,100.0,8.0,2.0,1.0,3.0
Idaho,Ohio,2015-09-03,2015-16,1,0,28,45,73,L,-17,Regular,1,36,48,75.0,297,1,28,100,3.6,2,2,2,100.0,2,2,100.0,8,1,2,3,26.0,2.2666666666666666,23.733333333333334,20.0,25.0,80.0,284.0,3.0,38.0,205.0,5.4,2.0,6.0,6.0,100.0,1.0,2.0,50.0,9.0,1.0,0.0,1.0
Minnesota,Texas Christian,2015-09-03,2015-16,1,0,17,23,40,L,-6,Regular,1,19,35,54.3,197,1,39,144,3.7,1,2,2,100.0,1,1,100.0,5,2,0,2,26.0,5.866666666666666,20.133333333333333,26.0,42.0,61.9,246.0,1.0,44.0,203.0,4.6,1.0,2.0,2.0,100.0,3.0,4.0,75.0,11.0,1.0,1.0,2.0
Utah,Michigan,2015-09-03,2015-16,1,0,24,17,41,W,7,Regular,1,24,33,72.7,208,0,37,129,3.5,2,3,3,100.0,1,3,33.3,6,0,1,1,16.142857142857142,15.5,0.6428571428571423,27.0,43.0,62.8,279.0,2.0,29.0,76.0,2.6,0.0,2.0,2.0,100.0,1.0,2.0,50.0,5.0,0.0,3.0,3.0
Wyoming,Eastern Michigan,2015-09-12,2015-16,1,0,29,48,77,L,-19,Regular,2,6,17,35.3,32,0,58,430,7.4,4,3,3,100.0,0,2,0.0,3,1,0,1,26.0,26.0,0.0,18.0,25.0,72.0,330.0,3.0,37.0,176.0,4.8,3.0,6.0,6.0,100.0,2.0,2.0,100.0,12.0,0.0,0.0,0.0
Florida Atlantic,Miami (FL),2015-09-11,2015-16,1,0,20,44,64,L,-24,Regular,2,19,34,55.9,166,1,33,223,6.8,1,2,2,100.0,2,3,66.7,8,3,2,5,26.0,26.0,0.0,22.0,34.0,64.7,300.0,1.0,44.0,226.0,5.1,4.0,5.0,5.0,100.0,3.0,4.0,75.0,14.0,0.0,0.0,0.0
Western Kentucky,Louisiana Tech,2015-09-10,2015-16,1,0,41,38,79,W,3,Regular,2,28,38,73.7,441,1,33,149,4.5,2,3,3,100.0,4,4,100.0,15,1,0,1,26.0,26.0,0.0,28.0,49.0,57.1,357.0,2.0,31.0,223.0,7.2,3.0,5.0,5.0,100.0,1.0,1.0,100.0,8.0,1.0,1.0,2.0
